index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area
287,'지에스칼텍스(주) 종암주유소','서울 성북구 종암로 145 (종암동)','GSC','1635','1830','Y','Y','','N','N','Y',성북구
288,'중앙에너비스 종암지점','서울 성북구 종암로 58','SKE','1635','1825','Y','Y','','N','N','Y',성북구
289,'㈜명연에너지 효성주유소','서울 성북구 화랑로 27','GSC','1635','1815','N','Y','','Y','N','Y',성북구
290,'현대오일뱅크㈜직영 장삼주유소','서울 성북구 한천로 612 (장위동)','HDO','1635','1825','Y','Y','','N','Y','N',성북구
291,'현대오일뱅크㈜직영 고대셀프주유소','서울 성북구 종암로 12 (종암동)','HDO','1635','1825','Y','Y','','N','N','N',성북구
292,'(주)성북주유소','서울 성북구 보문로 142','HDO','1635','1815','Y','Y','','N','N','N',성북구
293,'현대오일뱅크㈜직영 북악셀프주유소','서울 성북구 정릉로 218 (정릉동)','HDO','1637','1827','Y','Y','','N','N','N',성북구
294,'(주)신용 구도일주유소화랑로','서울 성북구 화랑로 174','SOL','1653','1833','Y','Y','','Y','N','N',성북구
295,'장위주유소','서울 성북구 화랑로 110 (하월곡동)','SOL','1655','1845','Y','Y','','N','N','Y',성북구
296,'우리주유소','서울 성북구 화랑로 292','SKE','1655','1845','Y','Y','','Y','N','Y',성북구
297,'현대오일뱅크㈜직영 아리랑주유소','서울 성북구 아리랑로 96 (정릉동)','HDO','1657','1847','N','Y','','N','N','Y',성북구
298,'재정제2주유소 길음지점','서울 성북구 삼양로 78 (길음동)','HDO','1659','1839','N','N','','N','N','N',성북구
299,'신방주유소','서울 성북구 안암로 111 (안암동5가)','SOL','1669','1859','N','N','','N','N','N',성북구
300,'동일주유소','서울특별시 성북구  보문로 85 (보문동5가)','SOL','1675','1865','Y','Y','','N','N','Y',성북구
301,'삼선주유소','서울 성북구 창경궁로 324','SOL','1697','1875','Y','Y','','N','N','N',성북구
302,'지에스칼텍스㈜ 세창주유소','서울 성북구 동소문로 323','GSC','1701','1909','Y','N','','N','N','N',성북구
303,'지에스칼텍스㈜ 화랑주유소','서울 성북구 화랑로 185','GSC','1703','1907','N','N','','N','N','N',성북구
304,'위례드림주유소','서울시 송파구  위례중앙로 10','SOL','1633','1804','Y','Y','','N','N','Y',송파구
305,'위례제일주유소','서울 송파구 위례서로 260','SOL','1653','1853','Y','Y','','N','N','N',송파구
