index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area,Lat,Lng
394,불광주유소,서울 은평구 연서로 314 (불광동),HDO,1637,1842,Y,Y,N,N,N,N,은평구,37.6203679,126.9237343
395,다회주유소,서울 은평구 증산로 441 (신사동),SOL,1654,1854,Y,N,N,N,N,N,은평구,37.5955921,126.9144513
396,대성산업㈜ 대성주유소,서울 은평구 통일로 642,GSC,1659,1899,Y,Y,N,N,N,Y,은평구,37.6039651,126.9352913
397,현대오일뱅크㈜직영 은평드림주유소,서울 은평구 통일로 1151 (진관동),HDO,1662,1847,N,Y,N,N,N,N,은평구,37.6438385,126.9124158
398,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),GSC,1665,1834,Y,Y,N,N,N,N,은평구,37.5871071,126.8875419
399,지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),GSC,1669,1859,Y,Y,N,N,N,Y,은평구,37.594051,126.9139211
400,지에스칼텍스㈜ 녹번주유소,서울 은평구 통일로 600 (녹번동),GSC,1669,1859,Y,Y,N,N,N,N,은평구,37.6005055,126.9363315
401,지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),GSC,1669,1859,Y,Y,N,Y,N,Y,은평구,37.5906926,126.9177223
402,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),HDO,1674,1830,Y,Y,N,N,N,N,은평구,37.581122,126.897774
403,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),GSC,1695,1825,Y,Y,N,N,N,N,은평구,37.6292375,126.9196753
404,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),SKE,1695,1855,Y,Y,N,Y,N,N,은평구,37.6252814,126.9203998
405,박석고개주유소,서울 은평구 통일로 945 (갈현동),SKE,1695,1855,Y,Y,N,N,N,Y,은평구,37.6220821,126.9137086
406,뉴타운셀프주유소,서울 은평구 통일로 1031,SOL,1695,1875,Y,N,N,N,N,N,은평구,37.6123992,126.9292744
407,제이제이에너지,서울 은평구 응암로 163,SKE,1697,1887,Y,N,N,N,N,N,은평구,37.5867041,126.915896
408,자하문주유소,서울 종로구 자하문로 248 (부암동),SKE,1799,1999,Y,Y,N,N,N,N,종로구,37.5963101,126.9642698
409,안풍주유소,서울 종로구 자하문로 303,SOL,1799,1999,N,Y,N,N,N,N,종로구,37.5991115,126.9591542
410,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),HDO,1799,2039,N,Y,N,N,N,N,종로구,37.6125337,126.9703038
411,구도일주유소특종,서울 종로구 평창문화로 90 (평창동),SOL,1830,2050,N,Y,N,N,N,N,종로구,37.6114973,126.9724497
412,SK북악주유소,서울 종로구 평창문화로 137,SKE,2198,2388,N,Y,N,N,N,N,종로구,37.5729503,126.9793579
413,경복궁주유소,서울 종로구 율곡로 6 (중학동),GSC,2280,2390,N,N,N,N,N,N,종로구,37.5760111,126.9806619
414,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),GSC,2290,2395,N,N,N,N,N,N,종로구,37.5744645,126.9666181
415,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,SKE,2297,2397,N,N,N,N,N,Y,종로구,37.586068,127.0010581
416,다산주유소,서울 중구 다산로 233,SOL,1699,1839,Y,N,N,N,N,N,중구,37.5638911,127.0156764
417,장충드림주유소,서울 중구 동호로 296,SOL,1735,1895,Y,Y,N,N,N,N,중구,37.5607136,127.0031771
418,세화주유소,서울 중구 왕십리로 403,RTO,1768,1898,N,Y,N,Y,N,Y,중구,37.5647176,127.0254838
419,현대오일뱅크 장원주유소,서울 중구 동호로 203 (신당동),HDO,1833,1998,N,N,N,N,N,N,중구,37.5559993,127.0092633
420,SK에너지(주) 퇴계로주유소,서울 중구 퇴계로 228 (필동2가),SKE,1850,2090,N,N,N,N,N,N,중구,37.5598189,126.9946111
421,장충주유소,서울 중구 장충단로 202 (장충동1가),SKE,2048,2168,N,Y,N,N,N,Y,중구,37.5608027,127.0076024
422,신당동주유소,서울 중구 다산로 242 (신당동),SKE,2098,2398,N,Y,N,N,N,Y,중구,37.5645746,127.0164982
423,약수주유소,서울 중구 다산로 173,GSC,2197,2448,N,Y,N,Y,N,Y,중구,37.5590093,127.0126631
424,필동주유소,서울 중구 퇴계로 196 (필동2가),GSC,2429,2669,N,N,N,N,N,Y,중구,37.5598189,126.9946111
425,서남주유소,서울 중구 통일로 30,SKE,2635,2991,N,Y,N,N,N,Y,중구,37.5583477,126.9720901
426,대양주유소,서울 중랑구 봉우재로 105 (상봉동),GSC,1624,1845,Y,Y,N,N,N,N,중랑구,37.5945172,127.0885982
427,대원주유소,서울 중랑구 동일로 600,GSC,1624,1817,Y,Y,N,N,N,N,중랑구,37.583895,127.080133
428,우림주유소,서울특별시 중랑구  용마산로 487 (망우제3동),GSC,1625,1845,Y,Y,N,N,N,N,중랑구,37.6001716,127.0994451
429,면목SELF주유소,서울 중랑구 동일로 627 (면목동),SKE,1627,1817,Y,Y,N,Y,N,N,중랑구,37.5863022,127.0795124
430,(주)자연에너지 대창주유소,서울 중랑구 동일로 636 (면목동),HDO,1627,1797,N,N,N,N,N,N,중랑구,37.58717,127.0802173
431,오천만주유소,서울 중랑구 동일로 547 (면목동),SOL,1627,1797,Y,Y,N,N,N,N,중랑구,37.5788373,127.0793099
432,구도일주유소 동천,서울 중랑구 동일로 654 (면목동),SOL,1627,1817,Y,Y,N,N,N,N,중랑구,37.5888677,127.0802349
433,(주)태영 구도일주유소 한인,서울 중랑구 망우로 170 (상봉동),SOL,1637,1847,Y,Y,N,Y,N,N,중랑구,37.5924108,127.071856
434,(주)기지에너지,서울 중랑구 용마산로 716 (신내동),SOL,1645,1845,N,N,N,N,N,N,중랑구,37.6147043,127.1018978
435,신내주유소,서울 중랑구 용마산로 705 (신내동),SKE,1658,1859,Y,Y,N,N,N,N,중랑구,37.6141201,127.100916
436,범아주유소,서울 중랑구 동일로 881 (묵동),SOL,1669,1869,N,Y,N,Y,N,N,중랑구,37.609176,127.0776619
437,용마로주유소,서울 중랑구 용마산로 309 (면목동),SKE,1698,1858,Y,Y,N,N,N,N,중랑구,37.5798731,127.0921597
438,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),SKE,1698,1899,Y,Y,N,Y,N,Y,중랑구,37.5909065,127.093834
